t,c,ch,h,l,mv,ra,se,va,vo
021229,1064.38,0,1064.38,1064.38,0,0,130.0,0,0
021224,1064.38,0,1064.38,1064.38,0,0,129.0,0,0
021219,1064.38,0,1064.38,1064.38,0,0,128.0,0,0
021214,1064.38,0,1064.38,1064.38,0,0,127.0,0,0
021209,1064.38,0,1064.38,1064.38,0,0,126.0,0,0
021204,1064.38,0,1064.38,1064.38,0,0,125.0,0,0
021159,1064.38,0,1064.38,1064.38,0,0,124.0,0,0
021154,1064.38,0,1064.38,1064.38,0,0,123.0,0,0
021149,1064.38,0,1064.38,1064.38,0,0,122.0,0,0
021144,1064.38,0,1064.38,1064.38,0,0,121.0,0,0
021139,1064.38,0,1064.38,1064.38,0,0,120.0,0,0
021134,1064.38,0,1064.38,1064.38,0,0,119.0,0,0
021129,1064.38,0,1064.38,1064.38,0,0,118.0,0,0
021124,1064.38,0,1064.38,1064.38,0,0,117.0,0,0
021119,1064.38,0,1064.38,1064.38,0,0,116.0,0,0
021114,1064.38,0,1064.38,1064.38,0,0,115.0,0,0
021109,1064.38,0,1064.38,1064.38,0,0,114.0,0,0
021104,1064.38,0,1064.38,1064.38,0,0,113.0,0,0
021059,1064.38,0,1064.38,1064.38,0,0,112.0,0,0
021054,1064.38,0,1064.38,1064.38,0,0,111.0,0,0
021049,1064.38,0,1064.38,1064.38,0,0,110.0,0,0
021044,1064.38,0,1064.38,1064.38,0,0,109.0,0,0
021039,1064.38,0,1064.38,1064.38,0,0,108.0,0,0
021034,1064.38,0,1064.38,1064.38,0,0,107.0,0,0
021029,1064.38,0,1064.38,1064.38,0,0,106.0,0,0
021024,1064.38,0,1064.38,1064.38,0,0,105.0,0,0
021019,1064.38,0,1064.38,1064.38,0,0,104.0,0,0
021014,1064.38,0,1064.38,1064.38,0,0,103.0,0,0
021009,1064.38,0,1064.38,1064.38,0,0,102.0,0,0
021004,1064.38,0,1064.38,1064.38,0,0,101.0,0,0
020959,1064.38,0,1064.38,1064.38,0,0,100.0,0,0
020954,1064.38,0,1064.38,1064.38,0,0,99.0,0,0
020949,1064.38,0,1064.38,1064.38,0,0,98.0,0,0
020944,1064.38,0,1064.38,1064.38,0,0,97.0,0,0
020939,1064.38,0,1064.38,1064.38,0,0,96.0,0,0
020934,1064.38,0,1064.38,1064.38,0,0,95.0,0,0
020929,1064.38,0,1064.38,1064.38,0,0,94.0,0,0
020924,1064.38,0,1064.38,1064.38,0,0,93.0,0,0
020919,1064.38,0,1064.38,1064.38,0,0,92.0,0,0
020914,1064.38,0,1064.38,1064.38,0,0,91.0,0,0
020909,1064.38,0,1064.38,1064.38,0,0,90.0,0,0
020904,1064.38,0,1064.38,1064.38,0,0,89.0,0,0
020859,1064.38,0,1064.38,1064.38,0,0,88.0,0,0
020854,1064.38,0,1064.38,1064.38,0,0,87.0,0,0
020849,1064.38,0,1064.38,1064.38,0,0,86.0,0,0
020844,1064.38,0,1064.38,1064.38,0,0,85.0,0,0
020839,1064.38,0,1064.38,1064.38,0,0,84.0,0,0
020834,1064.38,0,1064.38,1064.38,0,0,83.0,0,0
020829,1064.38,0,1064.38,1064.38,0,0,82.0,0,0
020824,1064.38,0,1064.38,1064.38,0,0,81.0,0,0
020819,1064.38,0,1064.38,1064.38,0,0,80.0,0,0
020814,1064.38,0,1064.38,1064.38,0,0,79.0,0,0
020809,1064.38,0,1064.38,1064.38,0,0,78.0,0,0
020804,1064.38,0,1064.38,1064.38,0,0,77.0,0,0
020759,1064.38,0,1064.38,1064.38,0,0,76.0,0,0
020754,1064.38,0,1064.38,1064.38,0,0,75.0,0,0
020749,1064.38,0,1064.38,1064.38,0,0,74.0,0,0
020744,1064.38,0,1064.38,1064.38,0,0,73.0,0,0
020739,1064.38,0,1064.38,1064.38,0,0,72.0,0,0
020734,1064.38,0,1064.38,1064.38,0,0,71.0,0,0
020729,1064.38,0,1064.38,1064.38,0,0,70.0,0,0
020724,1064.38,0,1064.38,1064.38,0,0,69.0,0,0
020719,1064.38,0,1064.38,1064.38,0,0,68.0,0,0
020714,1064.38,0,1064.38,1064.38,0,0,67.0,0,0
020709,1064.38,0,1064.38,1064.38,0,0,66.0,0,0
020704,1064.38,0,1064.38,1064.38,0,0,65.0,0,0
020659,1064.38,0,1064.38,1064.38,0,0,64.0,0,0
020654,1064.38,0,1064.38,1064.38,0,0,63.0,0,0
020649,1064.38,0,1064.38,1064.38,0,0,62.0,0,0
020644,1064.38,0,1064.38,1064.38,0,0,61.0,0,0
020639,1064.38,0,1064.38,1064.38,0,0,60.0,0,0
020634,1064.38,0,1064.38,1064.38,0,0,59.0,0,0
020629,1064.38,0,1064.38,1064.38,0,0,58.0,0,0
020624,1064.38,0,1064.38,1064.38,0,0,57.0,0,0
020619,1064.38,0,1064.38,1064.38,0,0,56.0,0,0
020614,1064.38,0,1064.38,1064.38,0,0,55.0,0,0
020609,1064.38,0,1064.38,1064.38,0,0,54.0,0,0
020604,1064.38,0,1064.38,1064.38,0,0,53.0,0,0
020559,1064.38,0,1064.38,1064.38,0,0,52.0,0,0
020554,1064.38,0,1064.38,1064.38,0,0,51.0,0,0
020549,1064.38,0,1064.38,1064.38,0,0,50.0,0,0
020544,1064.38,0,1064.38,1064.38,0,0,49.0,0,0
020539,1064.38,0,1064.38,1064.38,0,0,48.0,0,0
020534,1064.38,0,1064.38,1064.38,0,0,47.0,0,0
020529,1064.38,0,1064.38,1064.38,0,0,46.0,0,0
020524,1064.38,0,1064.38,1064.38,0,0,45.0,0,0
020519,1064.38,0,1064.38,1064.38,0,0,,0,0
020514,1064.38,0,1064.38,1064.38,0,0,44.0,0,0
020509,1064.38,0,1064.38,1064.38,0,0,43.0,0,0
020504,1064.38,0,1064.38,1064.38,0,0,42.0,0,0
020459,1064.38,0,1064.38,1064.38,0,0,41.0,0,0
020454,1064.38,0,1064.38,1064.38,0,0,40.0,0,0
020449,1064.38,0,1064.38,1064.38,0,0,39.0,0,0
020444,1064.38,0,1064.38,1064.38,0,0,38.0,0,0
020439,1064.38,0,1064.38,1064.38,0,0,37.0,0,0
020434,1064.38,0,1064.38,1064.38,0,0,36.0,0,0
020429,1064.38,0,1064.38,1064.38,0,0,35.0,0,0
020424,1064.38,0,1064.38,1064.38,0,0,34.0,0,0
020419,1064.38,0,1064.38,1064.38,0,0,33.0,0,0
020414,1064.38,0,1064.38,1064.38,0,0,32.0,0,0
021234,1064.38,0,1064.38,1064.38,0,0,131.0,0,0
021304,1064.38,0,1064.38,1064.38,0,0,137.0,0,0
021259,1064.38,0,1064.38,1064.38,0,0,136.0,0,0
021254,1064.38,0,1064.38,1064.38,0,0,135.0,0,0
021249,1064.38,0,1064.38,1064.38,0,0,134.0,0,0
021244,1064.38,0,1064.38,1064.38,0,0,133.0,0,0
021239,1064.38,0,1064.38,1064.38,0,0,132.0,0,0
021334,1064.38,0,1064.38,1064.38,0,0,143.0,0,0
021329,1064.38,0,1064.38,1064.38,0,0,142.0,0,0
021324,1064.38,0,1064.38,1064.38,0,0,141.0,0,0
021319,1064.38,0,1064.38,1064.38,0,0,140.0,0,0
021314,1064.38,0,1064.38,1064.38,0,0,139.0,0,0
021309,1064.38,0,1064.38,1064.38,0,0,138.0,0,0
021359,1064.38,0,1064.38,1064.38,0,0,148,0,0
021354,1064.38,0,1064.38,1064.38,0,0,147,0,0
021349,1064.38,0,1064.38,1064.38,0,0,146,0,0
021344,1064.38,0,1064.38,1064.38,0,0,145,0,0
021339,1064.38,0,1064.38,1064.38,0,0,144,0,0
021429,1064.38,0,1064.38,1064.38,0,0,154,0,0
021424,1064.38,0,1064.38,1064.38,0,0,153,0,0
021419,1064.38,0,1064.38,1064.38,0,0,152,0,0
021414,1064.38,0,1064.38,1064.38,0,0,151,0,0
021409,1064.38,0,1064.38,1064.38,0,0,150,0,0
021404,1064.38,0,1064.38,1064.38,0,0,149,0,0
021459,1056.81,-7.57,1056.81,1056.81,2397200,-0.71,160,50893000000,2397200
021454,1064.38,0.0,1064.38,1064.38,0,0.0,159,0,0
021449,1064.38,0.0,1064.38,1064.38,0,0.0,158,0,0
021444,1064.38,0.0,1064.38,1064.38,0,0.0,157,0,0
021439,1064.38,0.0,1064.38,1064.38,0,0.0,156,0,0
021434,1064.38,0.0,1064.38,1064.38,0,0.0,155,0,0
021524,1056.83,-7.55,1056.83,1056.83,35300,-0.71,60152000000,2816100,
021519,1056.94,-7.44,1056.94,1056.94,10700,-0.7,59412000000,2780800,
021514,1057.24,-7.14,1057.24,1057.24,8800,-0.67,59279000000,2770100,163.0
021509,1056.8,-7.58,1056.8,1056.8,39100,-0.71,59099000000,2761300,162.0
021504,1056.62,-7.76,1056.62,1056.62,325000,-0.73,58521000000,2722200,161.0
021554,1057.34,-7.04,1057.34,1057.34,86100,-0.66,68090000000,3240500,
021549,1056.99,-7.39,1056.99,1056.99,119900,-0.69,66050000000,3154400,
021544,1056.43,-7.95,1056.43,1056.43,36800,-0.75,63857000000,3034500,
021539,1056.92,-7.46,1056.92,1056.92,55200,-0.7,63173000000,2997700,
021534,1057.0,-7.38,1057.0,1057.0,37600,-0.69,61930000000,2942500,
021529,1056.99,-7.39,1056.99,1056.99,88800,-0.69,61344000000,2904900,
021624,1057.71,-6.67,1057.71,1057.71,134300,-0.63,4.0,76004000000,3586700
021619,1056.68,-7.7,1056.68,1056.68,22700,-0.72,3.0,72161000000,3452400
021614,1056.83,-7.55,1056.83,1056.83,43900,-0.71,2.0,71777000000,3429700
021609,1057.05,-7.33,1057.05,1057.05,145300,-0.69,1.0,70821000000,3385800
021604,1056.71,-7.67,1056.71,1056.71,68800,-0.72,,69896000000,3338000
021559,1056.83,-7.55,1056.83,1056.83,28700,-0.71,,68689000000,3269200
021649,1057.34,-7.04,1057.34,1057.34,118500,-0.66,9.0,83713000000,3957600
021644,1057.3,-7.08,1057.3,1057.3,54300,-0.67,8.0,81280000000,3839100
021639,1057.1,-7.28,1057.1,1057.1,49200,-0.68,7.0,80238000000,3784800
021634,1057.06,-7.32,1057.06,1057.06,51800,-0.69,6.0,79278000000,3735600
021629,1057.02,-7.36,1057.02,1057.02,97100,-0.69,5.0,78175000000,3683800
021719,1057.93,-6.45,1057.93,1057.93,55800,-0.61,15.0,91216000000,4297500
021714,1057.93,-6.45,1057.93,1057.93,37800,-0.61,14.0,90094000000,4241700
021709,1057.94,-6.44,1057.94,1057.94,58600,-0.61,13.0,89279000000,4203900
021704,1057.31,-7.07,1057.31,1057.31,104400,-0.66,12.0,88029000000,4145300
021659,1057.06,-7.32,1057.06,1057.06,31700,-0.69,11.0,85459000000,4040900
021654,1057.1,-7.28,1057.1,1057.1,51600,-0.68,10.0,84736000000,4009200
021749,1057.59,-6.79,1057.59,1057.59,34500,-0.64,21.0,101891000000,4766300
021744,1058.01,-6.37,1058.01,1058.01,173500,-0.6,20.0,101008000000,4731800
021739,1058.17,-6.21,1058.17,1058.17,64700,-0.58,19.0,97374000000,4558300
021734,1058.33,-6.05,1058.33,1058.33,28700,-0.57,18.0,96089000000,4493600
021729,1058.47,-5.91,1058.47,1058.47,80800,-0.56,17.0,95463000000,4464900
021724,1057.83,-6.55,1057.83,1057.83,86600,-0.62,16.0,93137000000,4384100
021814,1057.56,-6.82,1057.56,1057.56,182900,-0.64,26.0,110841000000,5187000
021809,1057.5,-6.88,1057.5,1057.5,57600,-0.65,25.0,107045000000,5004100
021804,1057.55,-6.83,1057.55,1057.55,21500,-0.64,24.0,105725000000,4946500
021759,1057.9,-6.48,1057.9,1057.9,49000,-0.61,23.0,105251000000,4925000
021754,1057.47,-6.91,1057.47,1057.47,109700,-0.65,22.0,104105000000,4876000
021844,1059.0,-5.38,1059.0,1059.0,60200,-0.51,32.0,121068000000,5626900
021839,1058.78,-5.6,1058.78,1058.78,82600,-0.53,31.0,119479000000,5566700
021834,1058.14,-6.24,1058.14,1058.14,130800,-0.59,30.0,117529000000,5484100
021829,1058.28,-6.1,1058.28,1058.28,81300,-0.57,29.0,115124000000,5353300
021824,1058.31,-6.07,1058.31,1058.31,18100,-0.57,28.0,113221000000,5272000
021819,1058.21,-6.17,1058.21,1058.21,66900,-0.58,27.0,112848000000,5253900
021914,1058.59,-5.79,1058.59,1058.59,13300,-0.54,38.0,127737000000,5896200
021909,1059.17,-5.21,1059.17,1059.17,114300,-0.49,37.0,127447000000,5882900
021904,1058.18,-6.2,1058.18,1058.18,42100,-0.58,36.0,124155000000,5768600
021859,1058.15,-6.23,1058.15,1058.15,48000,-0.59,35.0,123196000000,5726500
021854,1058.49,-5.89,1058.49,1058.49,21600,-0.55,34.0,122240000000,5678500
021849,1058.64,-5.74,1058.64,1058.64,30000,-0.54,33.0,121733000000,5656900
021939,1059.5,-4.88,1059.5,1059.5,221700,-0.46,43.0,135920000000,6307100
021934,1058.73,-5.65,1058.73,1058.73,34600,-0.53,42.0,131665000000,6085400
021929,1057.94,-6.44,1057.94,1057.94,18200,-0.61,41.0,130753000000,6050800
021924,1058.29,-6.09,1058.29,1058.29,77300,-0.57,40.0,130339000000,6032600
021919,1058.67,-5.71,1058.67,1058.67,59100,-0.54,39.0,129182000000,5955300
022009,1059.27,-5.11,1059.27,1059.27,44300,-0.48,49.0,145722000000,6768400
022004,1059.15,-5.23,1059.15,1059.15,59200,-0.49,48.0,144823000000,6724100
021959,1059.54,-4.84,1059.54,1059.54,45700,-0.45,47.0,143592000000,6664900
021954,1059.56,-4.82,1059.56,1059.56,46200,-0.45,46.0,142432000000,6619200
021949,1058.97,-5.41,1058.97,1058.97,159500,-0.51,45.0,141629000000,6573000
021944,1059.31,-5.07,1059.31,1059.31,106400,-0.48,44.0,138276000000,6413500
022039,1059.54,-4.84,1059.54,1059.54,191200,-0.45,55.0,155055000000,7199700
022034,1059.24,-5.14,1059.24,1059.24,31500,-0.48,54.0,150699000000,7008500
022029,1059.35,-5.03,1059.35,1059.35,76900,-0.47,53.0,149732000000,6977000
022024,1059.4,-4.98,1059.4,1059.4,80100,-0.47,52.0,148189000000,6900100
022019,1059.23,-5.15,1059.23,1059.23,46600,-0.48,51.0,146907000000,6820000
022014,1059.23,-5.15,1059.23,1059.23,5000,-0.48,50.0,145865000000,6773400
022104,1058.54,-5.84,1058.54,1058.54,84800,-0.55,60.0,161537000000,7471500
022059,1058.5,-5.88,1058.5,1058.5,34100,-0.55,59.0,159624000000,7386700
022054,1058.84,-5.54,1058.84,1058.84,64700,-0.52,58.0,158780000000,7352600
022049,1059.16,-5.22,1059.16,1059.16,49200,-0.49,57.0,157455000000,7287900
022044,1059.61,-4.77,1059.61,1059.61,39000,-0.45,56.0,156141000000,7238700
022134,1058.49,-5.89,1058.49,1058.49,28200,-0.55,66.0,169357000000,7806700
022129,1058.56,-5.82,1058.56,1058.56,10300,-0.55,65.0,168757000000,7778500
022124,1059.34,-5.04,1059.34,1059.34,128000,-0.47,64.0,168463000000,7768200
022119,1059.31,-5.07,1059.31,1059.31,53900,-0.48,63.0,165499000000,7640200
022114,1058.5,-5.88,1058.5,1058.5,40700,-0.55,62.0,164051000000,7586300
022109,1058.51,-5.87,1058.51,1058.51,74100,-0.55,61.0,163171000000,7545600
022204,1057.86,-6.52,1057.86,1057.86,231700,-0.61,72.0,178694000000,8268000
022159,1057.99,-6.39,1057.99,1057.99,36800,-0.6,71.0,174632000000,8036300
022154,1058.11,-6.27,1058.11,1058.11,17700,-0.59,70.0,173770000000,7999500
022149,1058.07,-6.31,1058.07,1058.07,72200,-0.59,69.0,173472000000,7981800
022144,1058.38,-6.0,1058.38,1058.38,59500,-0.56,68.0,171825000000,7909600
022139,1058.48,-5.9,1058.48,1058.48,43400,-0.55,67.0,170358000000,7850100
022229,1057.53,-6.85,1057.53,1057.53,132400,-0.64,77.0,185371000000,8580900
022224,1057.32,-7.06,1057.32,1057.32,25500,-0.66,76.0,181925000000,8448500
022219,1057.81,-6.57,1057.81,1057.81,37500,-0.62,75.0,181559000000,8423000
022214,1057.55,-6.83,1057.55,1057.55,46000,-0.64,74.0,180596000000,8385500
022209,1057.78,-6.6,1057.78,1057.78,71500,-0.62,73.0,179755000000,8339500
022259,1057.84,-6.54,1057.84,1057.84,20700,-0.61,83.0,192836000000,9001600
022254,1057.91,-6.47,1057.91,1057.91,24100,-0.61,82.0,192376000000,8980900
022249,1058.53,-5.85,1058.53,1058.53,218900,-0.55,81.0,191952000000,8956800
022244,1058.55,-5.83,1058.55,1058.55,58600,-0.55,80.0,189261000000,8737900
022239,1058.04,-6.34,1058.04,1058.04,62100,-0.6,79.0,187520000000,8679300
